"variable","model","gen","index","virus","period","coprimary","hh_size","type","inc_mean","inc_sd","x_A","mean_value","upper_value","lower_value"
"mean","indep","Intrinsic",20,"cov","All Omicron",FALSE,"1p","All",2.6,1,0.35,"3.3","3.2","3.5"
"mean","indep","Intrinsic",39,"cov","All Omicron",FALSE,"1p","All",2.6,1,0.1,"3.3","3.2","3.5"
"mean","indep","Intrinsic",40,"cov","All Omicron",FALSE,"1p","All",2.6,1,1.27,"3.3","3.1","3.5"
"mean","indep","Realized",20,"cov","All Omicron",FALSE,"1p","All",2.6,1,0.35,"3.0","2.8","3.1"
"mean","indep","Realized",39,"cov","All Omicron",FALSE,"1p","All",2.6,1,0.1,"3.0","2.8","3.1"
"mean","indep","Realized",40,"cov","All Omicron",FALSE,"1p","All",2.6,1,1.27,"3.0","2.8","3.1"
"mean","mech","Intrinsic",20,"cov","All Omicron",FALSE,"1p","All",2.6,1,0.35,"3.5","3.3","3.7"
"mean","mech","Intrinsic",39,"cov","All Omicron",FALSE,"1p","All",2.6,1,0.1,"3.5","3.3","3.7"
"mean","mech","Intrinsic",40,"cov","All Omicron",FALSE,"1p","All",2.6,1,1.27,"3.5","3.3","3.7"
"mean","mech","Realized",20,"cov","All Omicron",FALSE,"1p","All",2.6,1,0.35,"3.0","2.8","3.1"
"mean","mech","Realized",39,"cov","All Omicron",FALSE,"1p","All",2.6,1,0.1,"3.0","2.8","3.1"
"mean","mech","Realized",40,"cov","All Omicron",FALSE,"1p","All",2.6,1,1.27,"3.0","2.8","3.1"
"sd","indep","Intrinsic",20,"cov","All Omicron",FALSE,"1p","All",2.6,1,0.35,"1.5","1.3","1.7"
"sd","indep","Intrinsic",39,"cov","All Omicron",FALSE,"1p","All",2.6,1,0.1,"1.5","1.3","1.7"
"sd","indep","Intrinsic",40,"cov","All Omicron",FALSE,"1p","All",2.6,1,1.27,"1.5","1.2","1.7"
"sd","indep","Realized",20,"cov","All Omicron",FALSE,"1p","All",2.6,1,0.35,"1.3","1.2","1.5"
"sd","indep","Realized",39,"cov","All Omicron",FALSE,"1p","All",2.6,1,0.1,"1.3","1.2","1.5"
"sd","indep","Realized",40,"cov","All Omicron",FALSE,"1p","All",2.6,1,1.27,"1.3","1.2","1.5"
"sd","mech","Intrinsic",20,"cov","All Omicron",FALSE,"1p","All",2.6,1,0.35,"2.1","1.9","2.3"
"sd","mech","Intrinsic",39,"cov","All Omicron",FALSE,"1p","All",2.6,1,0.1,"2.1","1.9","2.3"
"sd","mech","Intrinsic",40,"cov","All Omicron",FALSE,"1p","All",2.6,1,1.27,"2.0","1.8","2.2"
"sd","mech","Realized",20,"cov","All Omicron",FALSE,"1p","All",2.6,1,0.35,"1.8","1.6","1.9"
"sd","mech","Realized",39,"cov","All Omicron",FALSE,"1p","All",2.6,1,0.1,"1.8","1.7","1.9"
"sd","mech","Realized",40,"cov","All Omicron",FALSE,"1p","All",2.6,1,1.27,"1.7","1.6","1.9"
"presymp","indep","Intrinsic",20,"cov","All Omicron",FALSE,"1p","All",2.6,1,0.35,"0.4","0.3","0.4"
"presymp","indep","Intrinsic",39,"cov","All Omicron",FALSE,"1p","All",2.6,1,0.1,"0.3","0.3","0.4"
"presymp","indep","Intrinsic",40,"cov","All Omicron",FALSE,"1p","All",2.6,1,1.27,"0.4","0.3","0.4"
"presymp","indep","Realized",20,"cov","All Omicron",FALSE,"1p","All",2.6,1,0.35,"0.4","0.4","0.5"
"presymp","indep","Realized",39,"cov","All Omicron",FALSE,"1p","All",2.6,1,0.1,"0.4","0.4","0.5"
"presymp","indep","Realized",40,"cov","All Omicron",FALSE,"1p","All",2.6,1,1.27,"0.4","0.4","0.5"
"presymp","mech","Intrinsic",20,"cov","All Omicron",FALSE,"1p","All",2.6,1,0.35,"0.3","0.2","0.4"
"presymp","mech","Intrinsic",39,"cov","All Omicron",FALSE,"1p","All",2.6,1,0.1,"0.3","0.3","0.4"
"presymp","mech","Intrinsic",40,"cov","All Omicron",FALSE,"1p","All",2.6,1,1.27,"0.3","0.2","0.4"
"presymp","mech","Realized",20,"cov","All Omicron",FALSE,"1p","All",2.6,1,0.35,"0.4","0.3","0.5"
"presymp","mech","Realized",39,"cov","All Omicron",FALSE,"1p","All",2.6,1,0.1,"0.4","0.4","0.5"
"presymp","mech","Realized",40,"cov","All Omicron",FALSE,"1p","All",2.6,1,1.27,"0.4","0.3","0.5"
"beta","indep","Intrinsic",20,"cov","All Omicron",FALSE,"1p","All",2.6,1,0.35,"2.5","2.4","2.7"
"beta","indep","Intrinsic",39,"cov","All Omicron",FALSE,"1p","All",2.6,1,0.1,"2.6","2.4","2.8"
"beta","indep","Intrinsic",40,"cov","All Omicron",FALSE,"1p","All",2.6,1,1.27,"2.3","2.2","2.5"
"beta","indep","Realized",20,"cov","All Omicron",FALSE,"1p","All",2.6,1,0.35,"NaN","NA","NA"
"beta","indep","Realized",39,"cov","All Omicron",FALSE,"1p","All",2.6,1,0.1,"NaN","NA","NA"
"beta","indep","Realized",40,"cov","All Omicron",FALSE,"1p","All",2.6,1,1.27,"NaN","NA","NA"
"beta","mech","Intrinsic",20,"cov","All Omicron",FALSE,"1p","All",2.6,1,0.35,"2.5","2.4","2.7"
"beta","mech","Intrinsic",39,"cov","All Omicron",FALSE,"1p","All",2.6,1,0.1,"2.6","2.4","2.8"
"beta","mech","Intrinsic",40,"cov","All Omicron",FALSE,"1p","All",2.6,1,1.27,"2.3","2.2","2.5"
"beta","mech","Realized",20,"cov","All Omicron",FALSE,"1p","All",2.6,1,0.35,"NaN","NA","NA"
"beta","mech","Realized",39,"cov","All Omicron",FALSE,"1p","All",2.6,1,0.1,"NaN","NA","NA"
"beta","mech","Realized",40,"cov","All Omicron",FALSE,"1p","All",2.6,1,1.27,"NaN","NA","NA"
"ll_vec","indep","Intrinsic",20,"cov","All Omicron",FALSE,"1p","All",2.6,1,0.35,"-4475.9","-4557.5","-4397.7"
"ll_vec","indep","Intrinsic",39,"cov","All Omicron",FALSE,"1p","All",2.6,1,0.1,"-4470.3","-4546.3","-4393.4"
"ll_vec","indep","Intrinsic",40,"cov","All Omicron",FALSE,"1p","All",2.6,1,1.27,"-4429.1","-4505.8","-4353.2"
"ll_vec","indep","Realized",20,"cov","All Omicron",FALSE,"1p","All",2.6,1,0.35,"NaN","NA","NA"
"ll_vec","indep","Realized",39,"cov","All Omicron",FALSE,"1p","All",2.6,1,0.1,"NaN","NA","NA"
"ll_vec","indep","Realized",40,"cov","All Omicron",FALSE,"1p","All",2.6,1,1.27,"NaN","NA","NA"
"ll_vec","mech","Intrinsic",20,"cov","All Omicron",FALSE,"1p","All",2.6,1,0.35,"-4880.6","-4959.2","-4794.1"
"ll_vec","mech","Intrinsic",39,"cov","All Omicron",FALSE,"1p","All",2.6,1,0.1,"-4892.9","-4965.6","-4819.7"
"ll_vec","mech","Intrinsic",40,"cov","All Omicron",FALSE,"1p","All",2.6,1,1.27,"-4811.3","-4896.5","-4710.3"
"ll_vec","mech","Realized",20,"cov","All Omicron",FALSE,"1p","All",2.6,1,0.35,"NaN","NA","NA"
"ll_vec","mech","Realized",39,"cov","All Omicron",FALSE,"1p","All",2.6,1,0.1,"NaN","NA","NA"
"ll_vec","mech","Realized",40,"cov","All Omicron",FALSE,"1p","All",2.6,1,1.27,"NaN","NA","NA"
