"variable","index","virus","period","coprimary","hh_size","type","inc_mean","inc_sd","x_A","mean_value","upper_value","lower_value"
"alpha",20,"cov","All Omicron",FALSE,"1p","All",2.6,1,0.35,"0.41","0.21","0.83"
"alpha",36,"cov","All Omicron",FALSE,"1p","All",2.9,1.3,0.35,"0.55","0.22","1.53"
"alpha",37,"cov","All Omicron",FALSE,"1p","All",3.7,1.6,0.35,"1.10","0.29","3.57"
"alpha",38,"cov","All Omicron",FALSE,"1p","All",5.8,3.1,0.35,"4.62","1.15","11.76"
"presymp",20,"cov","All Omicron",FALSE,"1p","All",2.6,1,0.35,"0.31","0.24","0.38"
"presymp",36,"cov","All Omicron",FALSE,"1p","All",2.9,1.3,0.35,"0.38","0.30","0.48"
"presymp",37,"cov","All Omicron",FALSE,"1p","All",3.7,1.6,0.35,"0.62","0.50","0.76"
"presymp",38,"cov","All Omicron",FALSE,"1p","All",5.8,3.1,0.35,"0.97","0.93","0.99"
"p_E",20,"cov","All Omicron",FALSE,"1p","All",2.6,1,0.35,"0.24","0.03","0.55"
"p_E",36,"cov","All Omicron",FALSE,"1p","All",2.9,1.3,0.35,"0.35","0.06","0.72"
"p_E",37,"cov","All Omicron",FALSE,"1p","All",3.7,1.6,0.35,"0.42","0.18","0.68"
"p_E",38,"cov","All Omicron",FALSE,"1p","All",5.8,3.1,0.35,"0.07","0.01","0.16"
"period_E",20,"cov","All Omicron",FALSE,"1p","All",2.6,1,0.35,"0.64","0.08","1.42"
"period_E",36,"cov","All Omicron",FALSE,"1p","All",2.9,1.3,0.35,"1.02","0.17","2.08"
"period_E",37,"cov","All Omicron",FALSE,"1p","All",3.7,1.6,0.35,"1.55","0.65","2.53"
"period_E",38,"cov","All Omicron",FALSE,"1p","All",5.8,3.1,0.35,"0.38","0.06","0.90"
"period_P",20,"cov","All Omicron",FALSE,"1p","All",2.6,1,0.35,"1.96","1.18","2.52"
"period_P",36,"cov","All Omicron",FALSE,"1p","All",2.9,1.3,0.35,"1.88","0.82","2.73"
"period_P",37,"cov","All Omicron",FALSE,"1p","All",3.7,1.6,0.35,"2.15","1.17","3.05"
"period_P",38,"cov","All Omicron",FALSE,"1p","All",5.8,3.1,0.35,"5.42","4.90","5.74"
"mu_inv",20,"cov","All Omicron",FALSE,"1p","All",2.6,1,0.35,"1.68","1.44","1.94"
"mu_inv",36,"cov","All Omicron",FALSE,"1p","All",2.9,1.3,0.35,"1.41","1.18","1.69"
"mu_inv",37,"cov","All Omicron",FALSE,"1p","All",3.7,1.6,0.35,"1.12","0.76","1.58"
"mu_inv",38,"cov","All Omicron",FALSE,"1p","All",5.8,3.1,0.35,"0.70","0.23","1.52"
